ID,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,DISTANCE,CRS_DEP_TIME,LABEL,prediction
6/6/2024-OH-RIC-CLT-5475,2,6,6,3,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/7/2024-OH-RIC-CLT-5475,2,6,7,4,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/8/2024-OH-RIC-CLT-5475,2,6,8,5,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/9/2024-OH-RIC-CLT-5475,2,6,9,6,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/10/2024-OH-RIC-CLT-5475,2,,10,7,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/11/2024-OH-RIC-CLT-5475,2,6,11,1,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/12/2024-OH-RIC-CLT-5475,2,6,12,2,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/13/2024-OH-RIC-CLT-5475,2,6,13,3,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/14/2024-OH-RIC-CLT-5475,2,6,14,4,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/15/2024-OH-RIC-CLT-5475,2,6,15,5,OH,RIC,CLT,2.57,13.0,0.0,0.0
6/4/2024-OH-MHT-CLT-5474,2,6,4,1,OH,MHT,CLT,7.37,5.33,0.0,0.0
6/1/2024-OH-CLT-RIC-5475,2,6,1,5,OH,CLT,RIC,2.57,13.05,0.0,0.0
6/2/2024-OH-CLT-RIC-5475,2,6,2,6,OH,CLT,RIC,2.57,13.05,0.0,0.0
6/3/2024-OH-CLT-RIC-5475,2,6,3,7,OH,CLT,RIC,2.57,13.05,0.0,0.0
6/4/2024-OH-CLT-RIC-5475,2,6,4,1,OH,CLT,RIC,2.57,13.05,0.0,0.0
6/1/2024-OH-RIC-CLT-5475,2,6,1,5,OH,RIC,CLT,2.57,15.01,0.0,0.0
6/2/2024-OH-RIC-CLT-5475,2,6,2,6,OH,RIC,CLT,2.57,15.01,2.0,0.0
6/3/2024-OH-RIC-CLT-5475,2,6,3,7,OH,RIC,CLT,2.57,15.01,0.0,0.0
6/4/2024-OH-RIC-CLT-5475,2,6,4,1,OH,RIC,CLT,2.57,15.01,0.0,0.0
6/5/2024-OH-RIC-CLT-5475,2,6,5,2,OH,RIC,CLT,2.57,13.0,0.0,0.0
